"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Latvia (LV)","01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","99","n/e"
"Latvia (LV)","01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","217","n/e"
"Latvia (LV)","01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","112","n/e"
"Latvia (LV)","01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","78","n/e"
"Latvia (LV)","01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","69","n/e"
"Latvia (LV)","01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","7","n/e"
"Latvia (LV)","01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","0","n/e"
"Latvia (LV)","01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","0","n/e"
"Latvia (LV)","02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","0","n/e"
